Trial,Score,TotalScore,FeedbackType,EndPosX,EndPosY,Perturbation,PerturbationForce,NoiseMean,NoiseStd,NoiseInstance,Friction
100,0,54,endpos,519.0935441402373,408.6609302911875,None,0,0.0,1,1.1816465832578718,0.984
101,-45,9,endpos,770.8654936324899,337.764302060282,None,0,1.5,2,3.3823668791096226,0.987
102,0,9,endpos,1004.8286835831655,801.6028528862978,None,0,1.5,2,3.209714345533131,0.987
103,0,9,endpos,733.3933001592242,573.2874423537813,None,0,1.5,2,1.779973667302105,0.987
104,0,9,endpos,577.1425543295636,517.7111352044143,None,0,1.5,2,1.0416553634382726,0.987
105,0,9,endpos,821.2072565509932,692.9156581875304,None,0,1.5,2,2.5866173738190223,0.987
106,0,9,endpos,480.79699084761467,422.2406437993119,None,0,1.5,2,-2.65928797519776,0.987
107,0,9,endpos,926.1260156807663,142.82469827152474,None,0,1.5,2,5.724976086127955,0.987
108,0,9,endpos,575.5508490755406,346.68710988757954,None,0,1.5,2,1.6270102096305847,0.987
109,0,9,endpos,457.20552408126076,497.986263555571,None,0,1.5,2,-0.8462919327714502,0.987
110,0,9,endpos,546.6622679220924,456.143580575114,None,0,1.5,2,-0.24299945619965535,0.987
111,0,9,endpos,539.0797904420334,112.96634362001278,Sudden,2,1.5,2,-1.0274786208922584,0.987
112,51,60,endpos,1026.4968256885425,253.79761387223766,Sudden,2,1.5,2,4.866604021739448,0.987
113,80,140,endpos,452.83271852733196,267.97995456570067,Sudden,2,1.5,2,-1.2516417779745788,0.987
114,-50,90,endpos,617.2279954408417,29.312364493705566,Sudden,2,1.5,2,2.182509674838136,0.987
115,0,90,endpos,1155.2405024169268,463.8854608106495,Sudden,2,1.5,2,4.3663927599879475,0.987
116,0,90,endpos,808.8029712583308,479.9416004327836,Sudden,2,1.5,2,1.5507925523250468,0.987
117,0,90,endpos,1024.7581334406484,459.37756484103323,Sudden,2,1.5,2,2.35965900531591,0.987
118,-52,38,endpos,907.3065220103442,294.9921412726192,Sudden,2,1.5,2,3.451369843421444,0.987
119,-50,-12,endpos,609.5706573733348,50.11339438475735,Sudden,2,1.5,2,1.2757888761104952,0.987
120,0,-12,endpos,800.6787221809766,444.46903451996326,Sudden,2,1.5,2,1.3054129523626896,0.987
121,0,-12,endpos,992.6182971916104,633.4320788961558,Sudden,2,1.5,2,1.2449325403802414,0.987
122,0,-12,endpos,1102.889298552891,511.44593971808035,Sudden,2,1.5,2,2.941318546846407,0.987
123,0,-12,endpos,896.7463328984666,590.1501954572855,Sudden,2,1.5,2,0.7237383415494058,0.987
124,0,-12,endpos,953.9880419646624,493.3322446925714,Sudden,2,1.5,2,1.7301692465925216,0.987
125,0,-12,endpos,711.5280484663119,492.0733575987331,Sudden,2,1.5,2,-0.8664403861338492,0.987
126,0,-12,endpos,1054.033836321312,521.332244692572,Sudden,2,1.5,2,3.609628647328707,0.987
127,84,72,endpos,378.26416585060844,310.76430206028186,Sudden,2,1.5,2,-3.008284810927033,0.987
128,0,72,endpos,677.7258137430057,503.29221546918,Sudden,2,1.5,2,-0.6486026905567939,0.987
129,-50,22,endpos,815.0841912350254,-64.94300190872629,Sudden,2,1.5,2,3.094362158981827,0.987
130,0,22,endpos,1084.3264636582664,694.6316414129236,Sudden,2,1.5,2,1.7401706772179637,0.987
131,0,22,endpos,1042.3527140038227,601.2874423537813,Sudden,2,1.5,2,2.183539116435016,0.987
132,0,22,endpos,911.1444129354326,579.9910967056196,Sudden,2,1.5,2,1.701919513309551,0.987
133,0,22,endpos,978.0720303141321,595.689958608803,Sudden,2,1.5,2,2.028294877570946,0.987
134,0,22,endpos,1025.3301360344424,501.33224469257163,Sudden,2,1.5,2,2.709745647493283,0.987
135,-59,-37,endpos,1045.3189925377526,343.1984709871571,Sudden,2,1.5,2,4.110908400267677,0.987
136,0,-37,endpos,1210.0399656304749,672.631509806095,Sudden,2,1.5,2,2.9830546516868086,0.987
137,0,-37,endpos,936.165551758797,611.7551152909374,Sudden,2,1.5,2,-0.1239669942740762,0.987
138,0,-37,endpos,1034.264228312581,474.2285560669,Sudden,2,1.5,2,2.2796320757835877,0.987
139,0,-37,endpos,1042.2474978958073,609.4320788961558,Sudden,2,1.5,2,1.5759174473130066,0.987
140,0,-37,endpos,971.7939748386935,802.766023226087,Sudden,2,1.5,2,-0.6930179405445664,0.987
141,0,-37,endpos,847.5420055201728,649.9156581875304,None,0,1.5,2,0.9600755933063558,0.987
142,-46,-83,endpos,790.4721627055886,313.454013542193,None,0,1.5,2,0.8535606706676525,0.987
143,-50,-133,endpos,652.834364429534,20.76416883378721,None,0,1.5,2,-1.7235476992792904,0.987
144,0,-133,endpos,731.8585161682606,511.71113520441423,None,0,1.5,2,0.4903297685714456,0.987
145,0,-133,endpos,1104.5701287945024,558.8667543279378,None,0,1.5,2,3.9758771805891144,0.987
146,0,-133,endpos,910.7641543431764,531.0773211488889,None,0,1.5,2,0.6383151398983281,0.987
147,71,-62,endpos,639.4488539896353,276.29594272007574,None,0,1.5,2,0.5515471926664696,0.987
148,0,-62,endpos,715.7159603736998,172.53603836744415,None,0,1.5,2,4.152539238326414,0.987
149,0,-62,endpos,925.4099093148538,380.24064379931167,None,0,1.5,2,2.7526279382216385,0.987
150,0,-62,endpos,453.2257870728753,509.43322269808425,None,0,1.5,2,-1.8209129844775567,0.987
151,0,-62,endpos,1088.6128206369985,685.9927094000609,None,0,2.5,3,3.4228681676756905,0.99
152,0,-62,endpos,949.3915740860899,436.97588114574177,None,0,2.5,3,3.310805879785652,0.99
153,0,-62,endpos,472.62946828700603,508.509169102991,None,0,2.5,3,-1.5534289487431217,0.99
154,0,-62,endpos,1011.9014428527114,400.9231963286369,None,0,2.5,3,3.668630574154157,0.99
155,0,-62,endpos,813.832007091668,107.94636244161488,None,0,2.5,3,3.583565067594299,0.99
156,0,-62,endpos,823.5292032995035,440.9086065400785,None,0,2.5,3,3.5371002584795823,0.99
157,0,-62,endpos,1011.8639897970559,800.2574790353451,None,0,2.5,3,2.2679161238824346,0.99
158,-44,-106,endpos,761.2157529625212,289.93826667795713,None,0,2.5,3,2.3684455803138067,0.99
159,-46,-152,endpos,787.7732115672127,343.9725295972482,None,0,2.5,3,3.5264535211372148,0.99
160,55,-97,endpos,940.0667096693476,267.9804595165326,None,0,2.5,3,3.832737060535692,0.99
161,78,-19,endpos,486.12087428642553,303.9710528517395,Sudden,2,2.5,3,-2.220111519855605,0.99
162,-36,-55,endpos,602.1608286779777,318.90283675724964,Sudden,2,2.5,3,-1.0206766894555654,0.99
163,0,-55,endpos,1319.5281206126247,428.9231963286366,Sudden,2,2.5,3,5.037036941131987,0.99
164,0,-55,endpos,1350.9263989334738,561.3873395060467,Sudden,2,2.5,3,5.588970708773006,0.99
165,0,-55,endpos,1707.061541185,598.9603176148235,Sudden,2,2.5,3,9.150245186271361,0.99
166,0,-55,endpos,626.7835720853292,85.96698294911701,Sudden,2,2.5,3,0.3208601371045985,0.99
167,0,-55,endpos,783.8900046826833,470.9522445649003,Sudden,2,2.5,3,-0.18797034268742774,0.99
168,0,-55,endpos,1339.846220883524,593.2379960471998,Sudden,2,2.5,3,4.987706593139676,0.99
169,0,-55,endpos,755.2543354158882,648.9274446530023,Sudden,2,2.5,3,-1.8010333247160384,0.99
170,0,-55,endpos,1067.2217009740573,417.9086065400789,Sudden,2,2.5,3,2.4345690108840827,0.99
171,0,-55,endpos,1025.5055229132693,593.904290788301,Sudden,2,2.5,3,1.0855448174591675,0.99
172,0,-55,endpos,1170.8728051745497,438.9180513395038,Sudden,2,2.5,3,3.3595487406662192,0.99
173,-68,-123,endpos,1213.9366675802542,297.97105285173933,Sudden,2,2.5,3,4.240755719856633,0.99
174,-46,-169,endpos,789.4760855266618,305.9010625817655,Sudden,2,2.5,3,1.5569552494900973,0.99
175,0,-169,endpos,877.9972263237064,453.95224456490075,Sudden,2,2.5,3,2.018120246575722,0.99
176,-26,-195,endpos,412.95139988316885,316.97105285173944,Sudden,2,2.5,3,-1.7254159814272807,0.99
177,0,-195,endpos,1151.917984319367,493.9894523743431,Sudden,2,2.5,3,4.778120477693198,0.99
178,0,-195,endpos,981.6819563320006,516.9040221560371,Sudden,2,2.5,3,2.976034213429127,0.99
179,0,-195,endpos,1548.1892780922124,557.8420149442156,Sudden,2,2.5,3,6.751018180705907,0.99
180,65,-130,endpos,761.1681377964496,280.98045951653273,Sudden,2,2.5,3,2.256044770757538,0.99
181,-50,-180,endpos,1736.2614692837117,1069.2948321338188,Sudden,2,2.5,3,4.252072592480822,0.99
182,-50,-230,endpos,1510.721959925566,43.98619641022364,Sudden,2,2.5,3,9.309855572813065,0.99
183,-62,-292,endpos,1109.5213163979813,301.96452655999894,Sudden,2,2.5,3,2.1432300381988654,0.99
184,-50,-342,endpos,918.8481995826528,-477.0467269123828,Sudden,2,2.5,3,6.718617253202626,0.99
185,64,-278,endpos,773.100843061205,267.92375236019,Sudden,2,2.5,3,0.4582987703252739,0.99
186,-67,-345,endpos,1208.232946221968,329.97252959724784,Sudden,2,2.5,3,4.037403269499422,0.99
187,0,-345,endpos,1336.4146757198946,92.9755475069852,Sudden,2,2.5,3,5.747784704181241,0.99
188,0,-345,endpos,742.9196059120411,695.9554894591423,Sudden,2,2.5,3,-0.8405157038396744,0.99
189,0,-345,endpos,1091.1729533309065,407.91805133950413,Sudden,2,2.5,3,3.3133301835673956,0.99
190,0,-345,endpos,965.8464647773568,136.94876237750785,Sudden,2,2.5,3,2.112449891004963,0.99
191,0,-345,endpos,481.6985189125302,526.9965234107336,None,0,2.5,3,-2.2524562926997467,0.99
192,-50,-395,endpos,-73.21238240373005,-431.0467269123828,None,0,2.5,3,-1.5458349671982017,0.99
193,0,-395,endpos,521.865735901634,386.9212514854396,None,0,2.5,3,-1.027750884707861,0.99
194,0,-395,endpos,498.61497237677906,632.7082584996245,None,0,2.5,3,-2.693592398962803,0.99
195,-55,-450,endpos,972.2761679754346,274.96452655999883,None,0,2.5,3,4.753260767280432,0.99
196,0,-450,endpos,375.93919270603664,413.06323434857177,None,0,2.5,3,-2.089947293163359,0.99
197,0,-450,endpos,765.7401741062271,571.9837136101586,None,0,2.5,3,0.7728767736294904,0.99
198,0,-450,endpos,680.8115187133137,563.9869349426004,None,0,2.5,3,0.41815237151894236,0.99
199,73,-377,endpos,593.0059726711261,283.96452655999883,None,0,2.5,3,0.2156673516100427,0.99
200,0,-377,endpos,1298.8751795107332,697.4568099702183,None,0,2.5,3,5.32849761930004,0.99
