Trial,Score,TotalScore,FeedbackType,EndPosX,EndPosY,Perturbation,PerturbationForce
92,0,1127,trajectory,386.13785129774624,365.92420889969117,None,0.0
93,96,1223,trajectory,96.92890169705406,242.06551894078984,None,0.0
94,93,1316,trajectory,173.74049517106522,250.90283675724993,None,0.0
95,0,1316,trajectory,320.9231963286369,451.31565369627106,None,0.0
96,90,1406,trajectory,227.29504926857197,272.97105285173944,None,0.0
97,-50,1356,trajectory,2.9903904943626607,231.41296041630508,None,0.0
98,89,1445,trajectory,260.30490298194565,235.93622321054247,None,0.0
99,92,1537,trajectory,213.01764146807892,221.93468975296864,None,0.0
100,86,1623,trajectory,284.95704747698744,302.9710528517394,None,0.0
101,91,1714,endpos,210.45119272398927,260.92375236019,None,0.0
102,0,1714,endpos,201.9279202185673,376.88287598503524,None,0.0
103,94,1808,endpos,182.07877802040505,214.9866558224459,None,0.0
104,0,1808,endpos,409.74088294175823,398.92420889969094,None,0.0
105,83,1891,endpos,343.19398282628913,310.9010625817654,None,0.0
106,0,1891,endpos,234.95178673568537,344.5963657808391,None,0.0
107,-50,1841,endpos,-161.18432953862686,-79.08208297132099,None,0.0
108,0,1841,endpos,338.559511085476,352.9212514854397,None,0.0
109,0,1841,endpos,251.92792021856712,370.4053981018007,None,0.0
110,93,1934,endpos,155.9237523601893,274.4511927239898,None,0.0
111,-50,1884,endpos,31.344183740720666,82.97554750698531,Gradual,0.2
112,93,1977,endpos,155.98665582244595,283.2300909874121,Gradual,0.2
113,-50,1927,endpos,11.948762377507766,250.29063531458985,Gradual,0.2
114,0,1927,endpos,425.17843207442985,146.95852322005845,Gradual,0.4
115,0,1927,endpos,145.98367979901076,375.0750351315532,Gradual,0.4
116,85,2012,endpos,325.5609541791918,259.92375236019,Gradual,0.4
117,0,2012,endpos,344.88001077196026,352.99001211845444,Gradual,0.6000000000000001
118,72,2084,endpos,537.4427619355745,293.9517867356849,Gradual,0.6000000000000001
119,0,2084,endpos,577.1656517393251,386.918051339504,Gradual,0.6000000000000001
120,85,2169,endpos,308.7849755643991,272.9382666779569,Gradual,0.8
121,-32,2137,endpos,472.7477432844334,301.92792021856684,Gradual,0.8
122,90,2227,endpos,238.45320482090898,241.9362232105425,Gradual,0.8
123,-23,2204,endpos,318.5100103231285,328.9900121184545,Gradual,1.0
124,0,2204,endpos,544.5747683065462,518.9936478259503,Gradual,1.0
125,91,2295,endpos,202.57815358488023,277.9028367572498,Gradual,1.0
126,86,2381,endpos,312.24591442172533,244.92375236018964,Gradual,1.2
127,-28,2353,endpos,400.03000852780207,334.9900121184545,Gradual,1.2
128,89,2442,endpos,248.67878119741906,260.9645265599987,Gradual,1.2
129,91,2533,endpos,223.77615208639202,245.9866558224464,Gradual,1.4
130,0,2533,endpos,520.3332465413006,461.9522445649006,Gradual,1.4
131,80,2613,endpos,397.7911488966037,296.93826667795724,Gradual,1.4
132,92,2705,endpos,210.60150665987265,193.93622321054278,Gradual,1.5999999999999999
133,0,2705,endpos,344.9947670736261,74.94876237750788,Gradual,1.5999999999999999
134,81,2786,endpos,390.58944498322586,263.96452655999866,Gradual,1.5999999999999999
135,-33,2753,endpos,482.5735692455113,317.9279202185667,Gradual,1.7999999999999998
136,73,2826,endpos,514.8702475855309,280.90283675724976,Gradual,1.7999999999999998
137,0,2826,endpos,599.9258953218857,385.91805133950396,Gradual,1.7999999999999998
138,0,2826,endpos,537.3722778088976,403.91805133950425,Gradual,1.9999999999999998
139,0,2826,endpos,195.64171748563183,79.94636244161515,Gradual,1.9999999999999998
140,-33,2793,endpos,472.7350069568916,338.9900121184545,Gradual,1.9999999999999998
141,93,2886,endpos,120.98367979901066,284.1027668755676,None,0.0
142,-50,2836,endpos,-180.0820829713214,0.9976979229263057,None,0.0
143,-50,2786,endpos,-171.09462307313424,97.1139789720067,None,0.0
144,0,2786,endpos,314.91805133950436,425.91805133950373,None,0.0
145,89,2875,endpos,248.50607345159042,239.9237523601897,None,0.0
146,92,2967,endpos,194.60871260272236,266.92375236019,None,0.0
147,0,2967,endpos,429.6451645742007,407.91805133950413,None,0.0
148,98,3065,endpos,111.98367979901089,194.9836797990109,None,0.0
149,0,3065,endpos,510.3731672286825,464.9894523743435,None,0.0
150,89,3154,endpos,257.47352615237804,230.98665582244598,None,0.0
151,89,3243,rl,233.63305106015548,287.9710528517393,None,0.0
152,0,3243,rl,363.2761422928392,437.9086065400785,None,0.0
153,89,3332,rl,234.44135334405826,283.938266677957,None,0.0
154,86,3418,rl,270.4053981018005,310.92792021856684,None,0.0
155,0,3418,rl,203.4899304366115,185.92890169705478,None,0.0
156,0,3418,rl,114.98367979901066,187.83686097843764,None,0.0
157,93,3511,rl,192.07877802040522,223.98665582244604,None,0.0
158,0,3511,rl,198.96452655999911,369.678781197419,None,0.0
159,96,3607,rl,132.91324986275754,223.7736266252538,None,0.0
160,-19,3588,rl,243.92792021856715,332.92792021856684,None,0.0
161,86,3674,rl,287.11007778812706,304.93826667795736,Gradual,0.2
162,-50,3624,rl,49.642945657693566,-33.027370394969644,Gradual,0.2
163,0,3624,rl,473.23191243505545,407.91805133950413,Gradual,0.2
164,0,3624,rl,289.69245592240856,115.9755475069852,Gradual,0.4
165,-50,3574,rl,-17.075691577101693,85.67926377048018,Gradual,0.4
166,84,3658,rl,315.34066111769823,310.97252959724796,Gradual,0.4
167,-27,3631,rl,384.6415505291874,329.9517867356852,Gradual,0.6000000000000001
168,86,3717,rl,293.44752667626415,293.93826667795724,Gradual,0.6000000000000001
